U2 L U L2 R' U
U2 L U R' L2 U
R' L' U D2 L R2
L' R' U D2 L R2
R' L' U D2 R2 L
L' R' U D2 R2 L
R' L' U' L2 U2 L'
L' R' U' L2 U2 L'
U' L' R' U D2 R2
U' L' R' U' L2 U2
U' L' R' D' B2 U
U' L' R' D2 U R2
L' R' D2 U L R2
L' R' D2 U R2 L
R' L' D2 U L R2
R' L' D2 U R2 L
U' L' D' R' B2 U
U' L' D2 R' U R'
L U L2 R' U L
L U R' L2 U L
U' R' L' U D2 R2
U' R' L' U' L2 U2
U' R' L' D' B2 U
U' R' L' D2 U R2
U' R' B2 L' U R'
L' D2 R' U L R'
L' D2 R' U R' L
R' B2 L' U L R'
R' B2 L' U R' L
L' R' U' L2 U2 L' D
L' R' U' L2 U2 L' D'
L' R' U' L2 U2 L' D2
R' L' U' L2 U2 L' D
R' L' U' L2 U2 L' D'
R' L' U' L2 U2 L' D2
R' L' U' L2 U2 D L'
L' R' U' L2 U2 D L'
L' R' U' L2 U2 D' L'
R' L' U' L2 U2 D' L'
R' L' U' L2 U2 D2 L'
L' R' U' L2 U2 D2 L'
R' L' U' L2 D U2 L'
L' R' U' L2 D U2 L'
L' R' U' L2 D' U2 L'
R' L' U' L2 D' U2 L'
R' L' U' L2 D2 U2 L'
L' R' U' L2 D2 U2 L'
R' L' U' R L2 U2 L'
L' R' U' R L2 U2 L'
R' L' U' R' L2 U2 L'
L' R' U' R' L2 U2 L'
R' L' U' R2 L2 U2 L'
L' R' U' R2 L2 U2 L'
R' L' U2 D F2 U' L
L' R' U2 D F2 U' L
U' L' R D' B2 U F2
R' L' D U L D R2
L' R' D U L D R2
D2 L' R' U D2 L R2
D2 L' R' U D2 R2 L
D' L' R' U D2 L R2
D' L' R' U D2 R2 L
D2 L' R' U' L2 U2 L'
D' L' R' U' L2 U2 L'
R' L' D U2 F2 U' L
U' L' R' U R D2 R2
L' R' D U2 F2 U' L
U' L' R' U R' D2 R2
U' L' R' U R2 D2 R2
U' L' R' U D2 R2 D
U' L' R' U D2 R2 D'
U' L' R' U D2 R2 D2
U' L' R' U' L2 U2 D
U' L' R' U' L2 U2 D'
U' L' R' U' L2 U2 D2
U' L' R' U' L2 D U2
U' L' R' U' L2 D' U2
U' L' R' U' L2 D2 U2
D L' R' U D2 L R2
D L' R' U D2 R2 L
U2 L' R' U' L2 R U2
U2 L' R' U' R L2 U2
D L' R' U' L2 U2 L'
U' L' R' U2 D F2 U'
D2 L' R' D2 U L R2
D2 L' R' D2 U R2 L
U' L' R' D U2 F2 U'
D' L' R' D2 U L R2
D' L' R' D2 U R2 L
U' L' R' D' B2 U D
U' L' R' D' B2 U D'
U' L' R' D' B2 U D2
U' L' R' D' B2 D U
U' L' R' D' B2 D' U
U' L' R' D' B2 D2 U
U L' R' U' L2 U2 L2
U' L' R' D2 U R2 D
U' L' R' D2 U R2 D'
U' L' R' D2 U R2 D2
U' L' R' D2 B U R2
L2 R' D F2 L U R
U' L' R' D2 B' U R2
U' L' R' D2 B2 U R2
D L' R' D2 U L R2
D L' R' D2 U R2 L
U' L' R' B U D2 R2
U' L' R' B U' L2 U2
U' L' R' B D' B2 U
U' L' R' B D2 U R2
U' L' R' B' U D2 R2
U' L' R' B' U' L2 U2
U' L' R' B' D' B2 U
U' L' R' B' D2 U R2
U' L' R' B2 U D2 R2
U' L' R' B2 U' L2 U2
U' L' R' B2 D' B2 U
U' L' R' B2 D2 U R2
R' L' D' U L D' R2
L' R' D' U L D' R2
U' L' R2 D' R B2 U
U' L' R2 D' B2 R U
U' L' R2 D2 R U R
R' L' D' B2 U' R' U2
L' R' D' B2 U' R' U2
R' L' D2 U L R2 D
R' L' D2 U L R2 D'
R' L' D2 U L R2 D2
R' L' D2 U R2 L D
R' L' D2 U R2 L D'
R' L' D2 U R2 L D2
R' L' D2 U R2 D L
R' L' D2 U R2 D' L
R' L' D2 U R2 D2 L
L' R' D2 U L R2 D
L' R' D2 U L R2 D'
L' R' D2 U L R2 D2
L' R' D2 U R2 L D
L' R' D2 U R2 L D'
L' R' D2 U R2 L D2
L' R' D2 U R2 D L
L' R' D2 U R2 D' L
L' R' D2 U R2 D2 L
R2 L' D2 R U L R
R2 L' D2 R U R L
R' L' D2 F U L R2
R' L' D2 F U R2 L
L' R' D2 F U L R2
L' R' D2 F U R2 L
B2 L' U R' D L F2
B2 L' U R' D F2 L
R' L' D2 F' U L R2
R' L' D2 F' U R2 L
L' R' D2 F' U L R2
L' R' D2 F' U R2 L
R' L' D2 F2 U L R2
R' L' D2 F2 U R2 L
B2 L' U D L R' F2
B2 L' U D L F2 R'
L' R' D2 F2 U L R2
L' R' D2 F2 U R2 L
B2 L' U D R' L F2
B2 L' U D R' F2 L
B2 L' U D F2 L R'
B2 L' U D F2 R' L
U' L' U' L2 U R' U
R' L' F U D2 L R2
R' L' F U D2 R2 L
R' L' F U' L2 U2 L'
L' R' F U D2 L R2
L' R' F U D2 R2 L
L' R' F U' L2 U2 L'
R' L' F D2 U L R2
R' L' F D2 U R2 L
L' R' F D2 U L R2
L' R' F D2 U R2 L
R' L' F' U D2 L R2
R' L' F' U D2 R2 L
R' L' F' U' L2 U2 L'
L' R' F' U D2 L R2
L' R' F' U D2 R2 L
B2 L' U2 L2 U' L' R'
B2 L' U2 L2 U' R' L'
L' R' F' U' L2 U2 L'
R' L' F' D2 U L R2
R' L' F' D2 U R2 L
L' R' F' D2 U L R2
L' R' F' D2 U R2 L
L2 R' F2 L U L R
L2 R' F2 L U R L
R' L' F2 U D2 L R2
R' L' F2 U D2 R2 L
R' L' F2 U' L2 U2 L'
L' R' F2 U D2 L R2
L' R' F2 U D2 R2 L
L' R' F2 U' L2 U2 L'
U' L' D R' U D R2
U' L' D R' U2 F2 U'
U' L' D R' D U R2
U' L' D R' D2 B2 U
B2 L' D U L R' F2
B2 L' D U L F2 R'
R' L' F2 D2 U L R2
R' L' F2 D2 U R2 L
B2 L' D U R' L F2
B2 L' D U R' F2 L
B2 L' D U F2 L R'
B2 L' D U F2 R' L
L' R' F2 D2 U L R2
L' R' F2 D2 U R2 L
U' L' D' R B2 R2 U
U' L' D' R' U D' R2
U' L' D' R' D' U R2
U' L' D' R' B2 U D
U' L' D' R' B2 U D'
U' L' D' R' B2 U D2
U' L' D' R' B2 D U
U' L' D' R' B2 D' U
U' L' D' R' B2 D2 U
U' L' D' R2 B2 R U
U' L' D' B2 U2 L U'
D2 L' D2 R' U L R'
D2 L' D2 R' U R' L
D' L' D2 R' U L R'
D' L' D2 R' U R' L
U' L' D2 R' U R' D
U' L' D2 R' U R' D'
U' L' D2 R' U R' D2
U' L' D2 R' U D R'
U' L' D2 R' U D' R'
U' L' D2 R' U D2 R'
U' L' D2 R' D U R'
U' L' D2 R' D' U R'
U' L' D2 R' D2 U R'
D L' D2 R' U L R'
D L' D2 R' U R' L
B2 L' D2 R2 U L R
B2 L' D2 R2 U R L
R' L' B2 U' L2 R' U2
R' L' B2 U' R' L2 U2
L' R' B2 U' L2 R' U2
L' R' B2 U' R' L2 U2
R' L' B2 D' B2 U L
L' R' B2 D' B2 U L
L R2 U L2 R U L
L R2 U R L2 U L
R' L2 D F2 L U R
U' L' B2 D' B2 R' U
L' R2 D2 R U L R
L' R2 D2 R U R L
R' L2 F2 L U L R
R' L2 F2 L U R L
L U L2 R' U L D
L U L2 R' U L D'
L U L2 R' U L D2
L U L2 R' U D L
L U L2 R' U D' L
L U L2 R' U D2 L
L U L2 R' D U L
L U L2 R' D' U L
L U L2 R' D2 U L
L U L2 R' F U L
L U L2 R' F' U L
L U L2 R' F2 U L
L U L2 D R' U L
L U L2 D' R' U L
L U L2 D2 R' U L
L U L2 F R' U L
L U L2 F' R' U L
L U L2 F2 R' U L
L U R' L2 U L D
L U R' L2 U L D'
L U R' L2 U L D2
L U R' L2 U D L
L U R' L2 U D' L
L U R' L2 U D2 L
L U R' L2 D U L
L U R' L2 D' U L
L U R' L2 D2 U L
L U R' L2 F U L
L U R' L2 F' U L
L U R' L2 F2 U L
L U R' U D' L' B2
L U R' U D' B2 L'
L U R' D' U L' B2
L U R' D' U B2 L'
L U D' R' U L' B2
L U D' R' U B2 L'
U' R L' D' B2 U F2
R' U' L U L2 U L2
R2 U' L' R U D2 R2
R2 U' L' R U' L2 U2
R2 U' L' R D' B2 U
R2 U' L' R D2 U R2
R U' L' R2 U D2 R2
R U' L' R2 U' L2 U2
R U' L' R2 D' B2 U
R U' L' R2 D2 U R2
R2 U' L' D' R B2 U
R2 U' L' D' B2 R U
R2 U' L' D2 R U R
L' U' L2 U R' U L'
R U' L' D' B2 U F2
R2 U' R L' U D2 R2
R2 U' R L' U' L2 U2
R2 U' R L' D' B2 U
R2 U' R L' D2 U R2
R2 U' R B2 L' U R'
R U' R2 L' U D2 R2
R U' R2 L' U' L2 U2
R U' R2 L' D' B2 U
R U' R2 L' D2 U R2
U' R B2 L' R2 U R
R U' R2 B2 L' U R'
U' R B2 R2 L' U R
D2 R' L' U D2 L R2
D2 R' L' U D2 R2 L
D' R' L' U D2 L R2
D' R' L' U D2 R2 L
D2 R' L' U' L2 U2 L'
D' R' L' U' L2 U2 L'
U' R' L' U R D2 R2
U' R' L' U R' D2 R2
U' R' L' U R2 D2 R2
U' R' L' U D2 R2 D
U' R' L' U D2 R2 D'
U' R' L' U D2 R2 D2
U' R' L' U' L2 U2 D
U' R' L' U' L2 U2 D'
U' R' L' U' L2 U2 D2
U' R' L' U' L2 D U2
U' R' L' U' L2 D' U2
U' R' L' U' L2 D2 U2
U' R' L' U2 D F2 U'
D2 R' L' D2 U L R2
D2 R' L' D2 U R2 L
U' R' L' D U2 F2 U'
D' R' L' D2 U L R2
D' R' L' D2 U R2 L
U' R' L' D' B2 U D
U' R' L' D' B2 U D'
U' R' L' D' B2 U D2
U' R' L' D' B2 D U
U' R' L' D' B2 D' U
U' R' L' D' B2 D2 U
U' R' L' D2 U R2 D
U' R' L' D2 U R2 D'
U' R' L' D2 U R2 D2
U2 R' L' U' L2 R U2
U2 R' L' U' R L2 U2
U' R' L' D2 B U R2
U' R' L' D2 B' U R2
U' R' L' D2 B2 U R2
D R' L' U D2 L R2
D R' L' U D2 R2 L
D R' L' U' L2 U2 L'
U' R' L' B U D2 R2
U' R' L' B U' L2 U2
U' R' L' B D' B2 U
U' R' L' B D2 U R2
U' R' L' B' U D2 R2
U' R' L' B' U' L2 U2
U' R' L' B' D' B2 U
U' R' L' B' D2 U R2
U' R' L' B2 U D2 R2
U' R' L' B2 U' L2 U2
U' R' L' B2 D' B2 U
U' R' L' B2 D2 U R2
D R' L' D2 U L R2
D R' L' D2 U R2 L
U R' L' U' L2 U2 L2
B2 R' U L U' D' B2
B2 R' U L U2 L2 U
B2 R' U L D' U' B2
B2 R' U L D2 R2 U'
U' R' U' L U L2 U
U' R' U' L U2 D' B2
U' R' U' L D F2 U2
U' R' U' L D' U2 B2
B2 R' U' L' U D F2
B2 R' U' L' U2 L2 U'
B2 R' U' L' D U F2
B2 R' U' L' D2 R2 U
U' R' D L' U D2 R2
U' R' D L' U' L2 U2
U' R' D L' D' B2 U
U' R' D L' D2 U R2
U' R' D B2 L' U R'
U' R' D' L' U D2 R2
U' R' D' L' U' L2 U2
R2 U' B2 L' R U R2
U' R' D' L' D' B2 U
U' R' D' L' D2 U R2
R2 U' B2 R L' U R2
R U' B2 L' R2 U R
R U' B2 R2 L' U R
U' R' D' B2 L' U R'
U' R' D2 L' U D2 R2
U' R' D2 L' U' L2 U2
U' R' D2 L' D' B2 U
U' R' D2 L' D2 U R2
R2 U2 L U L2 R U
R2 U2 L U R L2 U
R U2 L U L2 R2 U
R U2 L U R2 L2 U
R U2 L U2 D' F2 B2
R U2 L U2 D' B2 F2
R U2 L D F2 B2 U2
R U2 L D B2 F2 U2
R U2 L D' U2 F2 B2
R U2 L D' U2 B2 F2
U' R' D2 B2 L' U R'
L U2 L' U' L' R' U
L U2 L' U' R' L' U
L U2 L2 R' U L R
L U2 L2 R' U R L
B2 R' F2 U L R U'
B2 R' F2 U R L U'
U' R' B L' B U R'
L U2 R' L2 U L R
L U2 R' L2 U R L
U' R' B' L' B' U R'
D2 R' B2 L' U L R'
D2 R' B2 L' U R' L
D' R' B2 L' U L R'
D' R' B2 L' U R' L
U' R' B2 L' U R' D
U' R' B2 L' U R' D'
U' R' B2 L' U R' D2
U' R' B2 L' U D R'
U' R' B2 L' U D' R'
U' R' B2 L' U D2 R'
U' R' B2 L' D U R'
U' R' B2 L' D' U R'
U' R' B2 L' D2 U R'
U' R' B2 D L' U R'
D R' B2 L' U L R'
D R' B2 L' U R' L
U' R' B2 D' L' U R'
B2 R' B2 U' L' R' U
B2 R' B2 U' R' L' U
U' R' B2 D2 L' U R'
L U2 D' B2 L' D F2
U' R2 L' D' R B2 U
U' R2 L' D' B2 R U
U' R2 L' D2 R U R
R' D L' U D2 L R2
R' D L' U D2 R2 L
R' D L' U' L2 U2 L'
R' D L' D2 U L R2
R' D L' D2 U R2 L
L' D R' U L D R2
L' D R' U D L R2
L' D R' U D R2 L
L' D R' U2 F2 U' L
L' D R' D U L R2
L' D R' D U R2 L
L2 D R' F2 L U R
U' R2 B2 L' R U R2
U' R2 B2 R L' U R2
B2 U L U' R' D' B2
B2 U L U' D' R' B2
B2 U L U2 L2 U R'
U2 D L U L2 R' U
U2 D L U R' L2 U
B2 U L D' U' R' B2
B2 U L D2 R2 U' R
U' D L' R' U D2 R2
U' D L' R' U' L2 U2
U' D L' R' D' B2 U
U' D L' R' D2 U R2
U' D L' D' R' B2 U
U' D L' D2 R' U R'
L2 D F2 L R' U R2
L2 D F2 R' L U R2
U' D R' L' U D2 R2
U' D R' L' U' L2 U2
U' D R' L' D' B2 U
U' D R' L' D2 U R2
L D F2 R U R2 U
L D F2 R U2 D' F2
L D F2 R D B2 U2
L D F2 R D' U2 F2
U' D R' B2 L' U R'
R' D B2 L' U L R'
R' D B2 L' U R' L
R' D' L' U D2 L R2
R' D' L' U D2 R2 L
R' D' L' U' L2 U2 L'
R' D' L' D2 U L R2
R' D' L' D2 U R2 L
B2 U F2 L R U' R2
B2 U F2 R L U' R2
L' D' R' U L D' R2
L' D' R' U D' L R2
L' D' R' U D' R2 L
L' D' R' D' U L R2
L' D' R' D' U R2 L
L' D' R' B2 U' R' U2
U2 D' L U L2 R' U
U2 D' L U R' L2 U
U' D' L' R' U D2 R2
D' U' L' R' U D2 R2
U' D' L' R' U' L2 U2
D' U' L' R' U' L2 U2
U' D' L' R' D' B2 U
D' U' L' R' D' B2 U
U' D' L' R' D2 U R2
D' U' L' R' D2 U R2
D2 U' L' R' U D2 R2
D2 U' L' R' U' L2 U2
D2 U' L' R' D' B2 U
D2 U' L' R' D2 U R2
U' D' L' D' R' B2 U
D' U' L' D' R' B2 U
U' D' L' D2 R' U R'
D' U' L' D2 R' U R'
D2 U' L' D' R' B2 U
D2 U' L' D2 R' U R'
D U' L' R' U D2 R2
D U' L' R' U' L2 U2
D U' L' R' D' B2 U
D U' L' R' D2 U R2
D U' L' D' R' B2 U
D U' L' D2 R' U R'
L D' U R' U L' B2
L D' U R' U B2 L'
U' D' R' L' U D2 R2
D' U' R' L' U D2 R2
U' D' R' L' U' L2 U2
D' U' R' L' U' L2 U2
U' D' R' L' D' B2 U
U' D' R' L' D2 U R2
D' U' R' L' D' B2 U
D' U' R' L' D2 U R2
B2 U' L' U R' D F2
B2 U' L' U D R' F2
B2 U' L' U D F2 R'
D2 U' R' L' U D2 R2
D2 U' R' L' U' L2 U2
D2 U' R' L' D' B2 U
D2 U' R' L' D2 U R2
B2 U' L' U2 L2 U' R'
B2 U' L' D U R' F2
B2 U' L' D U F2 R'
B' U' L' B R' B2 U
B2 U' L' D2 R2 U R
B' U' L' B' U2 L U'
U' D' R' B2 L' U R'
D' U' R' B2 L' U R'
D2 U' R' B2 L' U R'
B U' L' U' B' L U2
L D' U2 B2 L' D F2
D U' R' L' U D2 R2
D U' R' L' U' L2 U2
D U' R' L' D' B2 U
D U' R' L' D2 U R2
D U' R' B2 L' U R'
F2 U' R' U D B2 R'
F2 U' R' D U B2 R'
R D' F2 R' D B2 R'
R D' F2 B2 R' D B2
F U' R' U' L F' U2
F U' R' U' F' L U2
R' D' B2 L' U L R'
R' D' B2 L' U R' L
B' U' D L' B' U F
R' D2 L' U D2 L R2
R' D2 L' U D2 R2 L
R' D2 L' U' L2 U2 L'
R' D2 L' D2 U L R2
R' D2 L' D2 U R2 L
R D' B2 F2 R' D B2
D' U2 L U L2 R' U
D' U2 L U R' L2 U
D2 U2 L U L2 R' U
D2 U2 L U R' L2 U
U2 D2 L U L2 R' U
U2 D2 L U R' L2 U
U' D2 L' R' U D2 R2
U' D2 L' R' U' L2 U2
U' D2 L' R' D' B2 U
U' D2 L' R' D2 U R2
U' D2 L' D' R' B2 U
D U2 L U L2 R' U
D U2 L U R' L2 U
U' D2 L' D2 R' U R'
L' D2 R' U L R' D
L' D2 R' U L R' D'
L' D2 R' U L R' D2
L' D2 R' U L D R'
L' D2 R' U L D' R'
L' D2 R' U L D2 R'
L' D2 R' U R' L D
L' D2 R' U R' L D'
L' D2 R' U R' L D2
L' D2 R' U R' D L
L' D2 R' U R' D' L
L' D2 R' U R' D2 L
L' D2 R' U D L R'
L' D2 R' U D R' L
L' D2 R' U D' L R'
L' D2 R' U D' R' L
L' D2 R' U D2 L R'
L' D2 R' U D2 R' L
L' D2 R' D U L R'
L' D2 R' D U R' L
L' D2 R' D' U L R'
L' D2 R' D' U R' L
B' U' B L' R' B' U
L' D2 R' D2 U L R'
L' D2 R' D2 U R' L
L' D2 R' F U L R'
L' D2 R' F U R' L
L' D2 R' F' U L R'
L' D2 R' F' U R' L
B' U' B R' L' B' U
L' D2 R' F2 U L R'
L' D2 R' F2 U R' L
U' D2 R' L' U D2 R2
U' D2 R' L' U' L2 U2
U' D2 R' L' D' B2 U
U' D2 R' L' D2 U R2
B' U' B2 L' B' R' U
U' D2 R' B2 L' U R'
L' D2 F R' U L R'
L' D2 F R' U R' L
L' D2 F' R' U L R'
L' D2 F' R' U R' L
L' D2 F2 R' U L R'
L' D2 F2 R' U R' L
R' D2 B2 L' U L R'
R' D2 B2 L' U R' L
L' F R' U D2 L R2
L' F R' U D2 R2 L
L' F R' U' L2 U2 L'
L' F R' D2 U L R2
L' F R' D2 U R2 L
L' F D2 R' U L R'
L' F D2 R' U R' L
B' D U' L' B' U F
L' F' R' U D2 L R2
L' F' R' U D2 R2 L
L' F' R' U' L2 U2 L'
L' F' R' D2 U L R2
L' F' R' D2 U R2 L
L' F' D2 R' U L R'
L' F' D2 R' U R' L
L2 F2 L R' U L R2
L2 F2 L R' U R2 L
L' F2 R' U D2 L R2
L' F2 R' U D2 R2 L
L' F2 R' U' L2 U2 L'
L' F2 R' D2 U L R2
L' F2 R' D2 U R2 L
L2 F2 R' L U L R2
L2 F2 R' L U R2 L
L F2 R U L2 R2 U
L F2 R U R2 L2 U
L F2 R U2 D' F2 B2
L F2 R U2 D' B2 F2
L F2 R D F2 B2 U2
L F2 R D B2 F2 U2
L F2 R D' U2 F2 B2
L F2 R D' U2 B2 F2
L' F2 D2 R' U L R'
L' F2 D2 R' U R' L
R2 B' U' L' R B' U
R2 B' U' L' B' R U
R2 B' U' R L' B' U
R B' U' L' R2 B' U
R B' U' L' B' R2 U
R B' U' R2 L' B' U
U' B2 L' U R' D F2
U' B2 L' U D R' F2
U' B2 L' U D F2 R'
U' B2 L' U2 L2 U' R'
U' B2 L' D U R' F2
U' B2 L' D U F2 R'
R' B2 L' U L R' D
R' B2 L' U L R' D'
R' B2 L' U L R' D2
R' B2 L' U L D R'
R' B2 L' U L D' R'
R' B2 L' U L D2 R'
R' B2 L' U R' L D
R' B2 L' U R' L D'
R' B2 L' U R' L D2
R' B2 L' U R' D L
R' B2 L' U R' D' L
R' B2 L' U R' D2 L
R' B2 L' U D L R'
R' B2 L' U D R' L
R' B2 L' U D' L R'
R' B2 L' U D' R' L
R' B2 L' U D2 L R'
R' B2 L' U D2 R' L
U' B2 L' D2 R2 U R
R' B2 L' D U L R'
R' B2 L' D U R' L
R' B2 L' D' U L R'
R' B2 L' D' U R' L
R' B2 L' D2 U L R'
R' B2 L' D2 U R' L
R' B2 L' F U L R'
R' B2 L' F U R' L
R' B2 L' F' U L R'
R' B2 L' F' U R' L
R' B2 L' F2 U L R'
R' B2 L' F2 U R' L
R2 B2 L' R U L R2
R2 B2 L' R U R2 L
B2 F2 L R U' L' R2
B2 F2 L R U' R2 L'
F2 B2 L R U' L' R2
F2 B2 L R U' R2 L'
R B2 L' R2 U L R
R B2 L' R2 U R L
R' B2 R' U' L' R U
R' B2 R' U' R L' U
R2 B2 R L' U L R2
R2 B2 R L' U R2 L
R2 B2 R' U' L' R2 U
R2 B2 R' U' R2 L' U
B2 F2 R L U' L' R2
B2 F2 R L U' R2 L'
F2 B2 R L U' L' R2
F2 B2 R L U' R2 L'
R B2 R' U' L' R' U
R B2 R' U' R' L' U
B2 F2 R' U L R2 U'
B2 F2 R' U R2 L U'
F2 B2 R' U L R2 U'
F2 B2 R' U R2 L U'
R B2 R2 L' U L R
R B2 R2 L' U R L
R2 B2 U' L' R U R2
R2 B2 U' R L' U R2
R' B2 D L' U L R'
R' B2 D L' U R' L
B2 F2 U L R U' R2
F2 B2 U L R U' R2
B2 F2 U R L U' R2
F2 B2 U R L U' R2
R B2 U' L' R2 U R
R' B2 D' L' U L R'
R' B2 D' L' U R' L
R B2 U' R2 L' U R
R' B2 D2 L' U L R'
R' B2 D2 L' U R' L
L' B2 D' B2 R' U L
R B2 D' F2 R' D B2
