B L D R' F2 B2
B L D R' B2 F2
B L D F2 R' B2
B L' R2 U' L2 R
B L' R2 U' R L2
R2 L' B U' L R'
R2 L' B U' R' L
L' R2 B U' L R'
L' R2 B U' R' L
B R2 L' U' L2 R
B R2 L' U' R L2
R2 B L' U' L2 R'
R2 B L' U' R' L2
L' B R2 U' L R
L' B R2 U' R L
U' L' B R2 B2 U' R
D L' B F U' L B
U' L' B' R2 U L U2
B2 L' B' R2 U' L R
B2 L' B' R2 U' R L
U' L' B' U' D B2 R'
U' L' B' D U' B2 R'
L' R2 F B U' L R'
L' R2 F B U' R' L
L' R2 F' B U' L R'
L' R2 F' B U' R' L
L' R2 F2 B U' L R'
L' R2 F2 B U' R' L
L' R2 B U' L R' D
L' R2 B U' L R' D'
L' R2 B U' L R' D2
L' R2 B U' L D R'
L' R2 B U' L D' R'
L' R2 B U' L D2 R'
L' R2 B U' R' L D
L' R2 B U' R' L D'
L' R2 B U' R' L D2
L' R2 B U' R' D L
L' R2 B U' R' D' L
L' R2 B U' R' D2 L
L' R2 B U' D L R'
L' R2 B U' D R' L
L' R2 B U' D' L R'
L' R2 B U' D' R' L
L' R2 B U' D2 L R'
L' R2 B U' D2 R' L
L R2 B L2 U' L' R'
L R2 B L2 U' R' L'
L' R2 B D U' L R'
L' R2 B D U' R' L
L' R2 B D' U' L R'
L' R2 B D' U' R' L
L' R2 B D2 U' L R'
L' R2 B D2 U' R' L
L' R2 B F U' L R'
L' R2 B F U' R' L
L' R2 B F' U' L R'
L' R2 B F' U' R' L
L' R2 B F2 U' L R'
L' R2 B F2 U' R' L
L' R2 B' U L R' U2
L' R2 B' U R' L U2
R U L' R B U' R'
R U R L' B U' R'
R U R B L' U' R'
U R L' B R U' R2
U R B L' R U' R2
U R B R L' U' R2
B' R' L U' L2 R' U'
B' R' L U' R' L2 U'
B R' L U L2 R' U'
B R' L U R' L2 U'
B R' U L' R' U' L2
B R' U R' L' U' L2
B' R2 L' U L2 R U2
B' R2 L' U R L2 U2
B' R2 L' D F2 U' L'
B R2 L' U' L2 R D
B R2 L' U' L2 R D'
B R2 L' U' L2 R D2
B R2 L' U' L2 D R
B R2 L' U' L2 D' R
B R2 L' U' L2 D2 R
B R2 L' U' R L2 D
B R2 L' U' R L2 D'
B R2 L' U' R L2 D2
U' R2 L' B' U L U2
B2 R2 L' B' U' L R'
B2 R2 L' B' U' R' L
B R2 L' D' B2 U' R
B R2 L' B U' L2 R
B R2 L' B U' R L2
B R2 L' B' U' L2 R
B R2 L' B' U' R L2
B R2 L' B2 U' L2 R
B R2 L' B2 U' R L2
B R2 U' L R D F2
B R2 U' L D R F2
B R2 U' R L D F2
U' R2 D L' F B' U'
U' R2 D L' B' F U'
B R2 D L' U' L2 R
B R2 D L' U' R L2
B R2 D' L' U' L2 R
B R2 D' L' U' R L2
B R2 D2 L' U' L2 R
B R2 D2 L' U' R L2
R2 D L' F B U' L
R2 D L' B F U' L
F2 R2 B U' L R' F
F2 R2 B U' L F R'
F2 R2 B U' R' L F
B2 R2 B' L' U' L2 R'
B2 R2 B' L' U' R' L2
F R2 B U' L R' F'
F R2 B U' R' L F'
F R2 B U' R' F' L
U' R2 B2 L' B' U' R'
B U L D R' F2 B2
B U L D R' B2 F2
B U L D F2 R' B2
U' D L' F B' U' B'
U' D L' B' F U' B'
B U L' R2 U' L2 R
B U L' R2 U' R L2
R2 D B L' F U' L2
B U R2 L' U' L2 R
B U R2 L' U' R L2
D U' L' F B' U' B'
D U' L' B' F U' B'
B U' L D R' F2 B2
B U' L D R' B2 F2
B U' L D F2 R' B2
B U' L' R2 U' L2 R
B U' L' R2 U' R L2
B U' R2 L' U' L2 R
B U' R2 L' U' R L2
B U2 L D R' F2 B2
B U2 L D R' B2 F2
B U2 L D F2 R' B2
B U2 L' R2 U' L2 R
B U2 L' R2 U' R L2
B U2 R2 L' U' L2 R
B U2 R2 L' U' R L2
L' F R2 B U' L R'
L' F R2 B U' R' L
B D L R' B2 D F2
B D L' U' L2 R' B2
B D L' U' R' L2 B2
B D L' U' R' B2 L2
L' F B R2 U' L R
L' F B R2 U' R L
B D R' L B2 D F2
R2 F B U' L R' F'
R2 F B U' R' L F'
R2 F B U' R' F' L
L' F' R2 B U' L R'
L' F' R2 B U' R' L
B' D B2 L R' D F2
B' D B2 L D R' F2
B' D B2 L D F2 R'
B' D B2 R' L D F2
L' F' B R2 U' L R
L' F' B R2 U' R L
L' F2 R2 B U' L R'
L' F2 R2 B U' R' L
L' F2 B R2 U' L R
L' F2 B R2 U' R L
U' B L' R2 B' U' R
R2 B L' U' L2 R' D
R2 B L' U' L2 R' D'
R2 B L' U' L2 R' D2
R2 B L' U' L2 D R'
R2 B L' U' L2 D' R'
R2 B L' U' L2 D2 R'
R2 B L' U' R' L2 D
R2 B L' U' R' L2 D'
R2 B L' U' R' L2 D2
R B L R' D F2 B2
R B L R' D B2 F2
R2 B L' F U' L2 R'
R2 B L' F U' R' L2
R2 B L' F' U' L2 R'
R2 B L' F' U' R' L2
R2 B L' F2 U' L2 R'
R2 B L' F2 U' R' L2
D B L' F U' L2 B
D B L' F U' B L2
R B L' R U' L2 R2
R B L' R U' R2 L2
L B L2 R2 U' L' R
L B L2 R2 U' R L'
U' B R2 L' B' U' R
L' B R2 U' L R D
L' B R2 U' L R D'
L' B R2 U' L R D2
L' B R2 U' L D R
L' B R2 U' L D' R
L' B R2 U' L D2 R
L' B R2 U' R L D
L' B R2 U' R L D'
L' B R2 U' R L D2
L' B R2 U' R D L
L' B R2 U' R D' L
L' B R2 U' R D2 L
L' B R2 U' D L R
L' B R2 U' D R L
L' B R2 U' D' L R
L' B R2 U' D' R L
L' B R2 U' D2 L R
L' B R2 U' D2 R L
L' B R2 D U' L R
L' B R2 D U' R L
R B R L' U' L2 R2
R B R L' U' R2 L2
L' B R2 D' U' L R
L' B R2 D' U' R L
L' B R2 D2 U' L R
L' B R2 D2 U' R L
R B R' L D F2 B2
R B R' L D B2 F2
L B R2 L2 U' L' R
L B R2 L2 U' R L'
L' B U' L D R' B2
L' B U' D L R' B2
L' B U' D R' L B2
R2 B U' L R' D F2
R2 B U' L D R' F2
R2 B U' L D F2 R'
R2 B U' R' L D F2
L' B D U' L R' B2
L' B D U' R' L B2
R2 B D L' U' L2 R'
R2 B D L' U' R' L2
L B D L R' F2 B2
L B D L R' B2 F2
L B D L F2 R' B2
R2 B D' L' U' L2 R'
R2 B D' L' U' R' L2
L B D R' L F2 B2
L B D R' L B2 F2
L B D R' F2 L B2
L B D F2 L R' B2
L B D F2 R' L B2
R2 B D2 L' U' L2 R'
R2 B D2 L' U' R' L2
L' B F R2 U' L R
L' B F R2 U' R L
L' B F' R2 U' L R
L' B F' R2 U' R L
R2 B F U' L R' F'
R2 B F U' R' L F'
R2 B F U' R' F' L
L' B F2 R2 U' L R
L' B F2 R2 U' R L
R2 B' L' U L2 R' U2
R2 B' L' U R' L2 U2
L' B' R2 U L R U2
L' B' R2 U R L U2
L' B' U' D B2 L R'
L' B' U' D B2 R' L
L' B' D U' B2 L R'
L' B' D U' B2 R' L
L B' D F2 B2 L R'
L B' D F2 B2 R' L
L B' D B2 L R' F2
L B' D B2 L F2 R'
L B' D B2 R' L F2
L B' D B2 R' F2 L
L B' D B2 F2 L R'
L B' D B2 F2 R' L
U' B2 L' R2 B' U' R'
U' B2 L' B' R2 U' R
R2 B2 L' B' U' L R'
R2 B2 L' B' U' R' L
U' B2 R2 L' B' U' R'
L' B2 R2 B' U' L R'
L' B2 R2 B' U' R' L
