L' R B U L R2
L' R B U R2 L
R L' B U L R2
R L' B U R2 L
R' B L D' F2 B2
R' B L D' B2 F2
R B L' U L2 R2
R B L' U R2 L2
L' U R' F D' F2 L2
U' R L F L2 U R2
U' R L' U2 B' U' R2
D2 R L' B U L R2
D2 R L' B U R2 L
D' R L' B U L R2
D' R L' B U R2 L
U2 R L' F' U L' R2
U2 R L' F' U R2 L'
F2 R L' B U' L R2
F2 R L' B U' R2 L
U R L' U2 B U' R2
D R L' B U L R2
D R L' B U R2 L
B R L' B' U L2 R'
B R L' B' U R' L2
R' U' L R2 F L2 U
L2 U' L R F U R2
R' U' L F L2 R2 U
R' U' L F R2 L2 U
R' U' L' R2 U2 B' U'
L2 U' R L F U R2
D2 R B L' U L2 R2
D2 R B L' U R2 L2
D' R B L' U L2 R2
D' R B L' U R2 L2
R' U' R2 L F L2 U
F2 R B L' U' L2 R2
F2 R B L' U' R2 L2
R' U' R2 L' U2 B' U'
D R B L' U L2 R2
D R B L' U R2 L2
U R' L' F' R2 U R2
U R' U' L' F' R2 U
D2 R' B L D' F2 B2
D2 R' B L D' B2 F2
D' R' B L D' F2 B2
D' R' B L D' B2 F2
F2 R' B L D F2 B2
F2 R' B L D B2 F2
D R' B L D' F2 B2
D R' B L D' B2 F2
L' U2 F' U' L' R' F'
L' U2 F' U' R' L' F'
L' D R B U L R2
L' D R B U R2 L
F2 U L' R B U' R2
B U L' R B U L2
F2 U R L' B U' R2
B U R L' B U L2
F2 U R B L' U' R2
R D B L' B U L2
R D B2 D L' F U
L' D' R B U L R2
L' D' R B U R2 L
F2 U' L' R B' U' R2
B U' L' R B' U L2
B U' L' B' R U L2
R' D' F2 U R B U'
F2 U' R L' B' U' R2
R' D' B L F2 D' B2
B U' R L' B' U L2
L' D2 R B U L R2
L' D2 R B U R2 L
R' F' D' F2 B L B'
R' F' D' B L F2 B'
R' F' D' B L B' F2
R' F' D' B F2 L B'
R' F' B D' L F2 B'
R' F' B D' L B' F2
R' F' B D' F2 L B'
U' F2 L' R B' U' R2
U' F2 R L' B' U' R2
U F2 L' R B U' R2
U F2 R L' B U' R2
U F2 R B L' U' R2
R' B L U' L2 R2 U
R' B L U' R2 L2 U
R' B L D' F2 B2 D
R' B L D' F2 B2 D'
R' B L D' F2 B2 D2
R' B L D' B2 F2 D
R' B L D' B2 F2 D'
R' B L D' B2 F2 D2
R' B L F D' F2 B2
R' B L F D' B2 F2
R' B L F' D' F2 B2
R' B L F' D' B2 F2
R' B L F2 D' F2 B2
R' B L F2 D' B2 F2
R' B L B D' F2 B2
R' B L B D' B2 F2
R' B L B' D' F2 B2
R' B L B' D' B2 F2
R' B L B2 D' F2 B2
R' B L B2 D' B2 F2
R' B L' R2 U L2 R2
R' B L' R2 U R2 L2
R B L R2 D' F2 B2
R B L R2 D' B2 F2
R B L' U L2 R2 D
R B L' U L2 R2 D'
R B L' U L2 R2 D2
R B L' U R2 L2 D
R B L' U R2 L2 D'
R B L' U R2 L2 D2
R B L' D F2 B2 U
R B L' D B2 F2 U
R B L' F U L2 R2
R B L' F U R2 L2
R B L' F' U L2 R2
R B L' F' U R2 L2
R B L' F2 U L2 R2
R B L' F2 U R2 L2
R B L' B U L2 R2
R B L' B U R2 L2
R B L' B' U L2 R2
R B L' B' U R2 L2
R B L' B2 U L2 R2
R B L' B2 U R2 L2
R' B R2 L' U L2 R2
R' B R2 L' U R2 L2
R' B U' L' R2 U L2
R' B U' R2 L' U L2
R B R2 L D' F2 B2
R B R2 L D' B2 F2
R B U L R2 D' B2
R B U R2 L D' B2
R' B D' L F2 D' B2
R B D L' B2 U L2
R' B F' D' L F2 B'
R' B F' D' L B' F2
R' B F' D' F2 L B'
R' B' L D' F2 B2 L
R' B' L D' B2 L F2
R' B' L D' B2 F2 L
R B' L' U' R' U2 R'
R B' L' D B2 U L
R B' L' B2 U L R2
R B' L' B2 U R2 L
R B' D L' B2 U L
R B' D B2 L' U L2
R B2 L' B' U L R2
R B2 L' B' U R2 L
R B2 D L' F B2 U
R B2 D L' B2 F U
R B2 D B2 L' F U
