R' L U' F B
R' L U' B F
D2 L U' F B'
D2 L U' B' F
L R' U' F B
L R' U' B F
U2 R' U F' B
U2 R' U B F'
U2 L2 R' U B F'
D2 R L U' F B'
D2 R L U' B' F
U2 R U' F' B U2
U2 R U' B F' U2
L U' R' B R F
D2 R' L U' F B'
D2 R' L U' B' F
U2 R' L U F' B
U2 R' L U B F'
U2 R' L' U F' B
U2 R' L' U B F'
L U' F R' B R
U2 R' L2 U F' B
U2 R' L2 U B F'
U2 R' U D F' B
U2 R' U D B F'
U2 R' U D' F' B
U2 R' U D' B F'
U2 R' U D2 F' B
U2 R' U D2 B F'
U2 R' U F' D B
U2 R' U F' D' B
U2 R' U F' D2 B
U2 R' U F' B D
U2 R' U F' B D'
U2 R' U F' B D2
U2 R' U B D F'
U2 R' U B D' F'
U2 R' U B D2 F'
U2 R' U B F' D
U2 R' U B F' D'
U2 R' U B F' D2
U2 R' D U F' B
U2 R' D U B F'
U2 R' D' U F' B
U2 R' D' U B F'
U2 R' D2 U F' B
U2 R' D2 U B F'
L U2 R' U F B
L U2 R' U B F
D2 R2 L U' F B'
D2 R2 L U' B' F
R' D L U' F B
R' D L U' B F
R' D' L U' F B
R' D' L U' B F
R' D2 L U' F B
R' D2 L U' B F
U B' U R' U B
D2 L R U' D F B'
D2 L R U' D B' F
D2 L R U' D' F B'
D2 L R U' D' B' F
D2 L R U' D2 F B'
D2 L R U' D2 B' F
D2 L R U' F D B'
D2 L R U' F D' B'
D2 L R U' F D2 B'
D2 L R U' F B' D
D2 L R U' F B' D'
D2 L R U' F B' D2
U2 L R U' F' B U2
D2 L R U' B' D F
D2 L R U' B' D' F
D2 L R U' B' D2 F
D2 L R U' B' F D
D2 L R U' B' F D'
D2 L R U' B' F D2
U2 L R U' B F' U2
D2 L R D U' F B'
D2 L R D U' B' F
L' R U D F' B' U2
L' R U D B' F' U2
D2 L R D' U' F B'
D2 L R D' U' B' F
L' R U D' F' B' U2
L' R U D' B' F' U2
D2 L R D2 U' F B'
D2 L R D2 U' B' F
L' R U D2 F' B' U2
L' R U D2 B' F' U2
L R U D F' U2 F2
L' R U F' D B' U2
L' R U F' D' B' U2
L' R U F' D2 B' U2
L' R U F' B' U2 D
L' R U F' B' U2 D'
L' R U F' B' U2 D2
L' R U F' B' D U2
L' R U F' B' D' U2
L' R U F' B' D2 U2
L R U D' F' U2 F2
L R U D2 F' U2 F2
R' L U F' U2 F2 B
R' L U F' U2 B F2
R L U D F' U2 F2
R' L U F2 U2 F' B
R' L U F2 U2 B F'
L' R U B' D F' U2
L' R U B' D' F' U2
L' R U B' D2 F' U2
L' R U B' F' U2 D
L' R U B' F' U2 D'
L' R U B' F' U2 D2
L' R U B' F' D U2
L' R U B' F' D' U2
L' R U B' F' D2 U2
R L U D' F' U2 F2
L R U F' U2 F2 D
L R U F' U2 F2 D'
L R U F' U2 F2 D2
L R U F' D2 B2 U2
L R U F' B U2 F2
L R U F' B' U2 F2
L R U F' B2 U2 F2
R L U D2 F' U2 F2
R' L U B' U2 F B2
R' L U B' U2 B2 F
U2 L R' U D F' B
U2 L R' U D B F'
U2 L R' U D' F' B
U2 L R' U D' B F'
U2 L R' U D2 F' B
U2 L R' U D2 B F'
U2 L R' U F' D B
U2 L R' U F' D' B
U2 L R' U F' D2 B
U2 L R' U F' B D
U2 L R' U F' B D'
U2 L R' U F' B D2
R' L U B2 U2 F B'
R' L U B2 U2 B' F
B' L R' U' F B L
U2 L R' U B D F'
U2 L R' U B D' F'
U2 L R' U B D2 F'
U2 L R' U B F' D
U2 L R' U B F' D'
U2 L R' U B F' D2
B' L R' U' B F L
L R U B F' U2 F2
D2 L R' U' D F B'
D2 L R' U' D B' F
D2 L R' U' D' F B'
D2 L R' U' D' B' F
D2 L R' U' D2 F B'
D2 L R' U' D2 B' F
D2 L R' U' F D B'
D2 L R' U' F D' B'
D2 L R' U' F D2 B'
R L U F' U2 F2 D
R L U F' U2 F2 D'
R L U F' U2 F2 D2
D2 L R' U' F B' D
D2 L R' U' F B' D'
D2 L R' U' F B' D2
R L U F' D2 B2 U2
D2 L R' U' B' D F
D2 L R' U' B' D' F
D2 L R' U' B' D2 F
D2 L R' U' B' F D
D2 L R' U' B' F D'
D2 L R' U' B' F D2
R L U F' B U2 F2
R L U F' B' U2 F2
R L U F' B2 U2 F2
R' L U' L B L' F
L R U B' F' U2 F2
L R U B2 F' U2 F2
D2 L R' D U' F B'
D2 L R' D U' B' F
U2 L R' D U F' B
U2 L R' D U B F'
R L U B F' U2 F2
U2 L R' D' U F' B
U2 L R' D' U B F'
D2 L R' D' U' F B'
D2 L R' D' U' B' F
R' L U' R F R' B
R L U B' F' U2 F2
U2 L R' D2 U F' B
U2 L R' D2 U B F'
D2 L R' D2 U' F B'
D2 L R' D2 U' B' F
R L U B2 F' U2 F2
R' L U' D F D B
R' L U' D F D' B
R' L U' D F D2 B
R' L U' D F B D
R' L U' D F B D'
R' L U' D F B D2
R' L U' D B D F
R' L U' D B D' F
R' L U' D B D2 F
R' L U' D B F D
R' L U' D B F D'
R' L U' D B F D2
R' L U' D' F D B
R' L U' D' F D' B
R' L U' D' F D2 B
R' L U' D' F B D
R' L U' D' F B D'
R' L U' D' F B D2
R' L U' D' B D F
R' L U' D' B D' F
R' L U' D' B D2 F
R' L U' D' B F D
R' L U' D' B F D'
R' L U' D' B F D2
L R U' R2 F B R2
L R U' R2 B R2 F
L R U' R2 B F R2
R' L U' D2 F D B
F2 L R' F2 U' F' B
R' L U' D2 F D' B
R' L U' D2 F D2 B
F2 L R' F2 U' B F'
R' L U' D2 F B D
R' L U' D2 F B D'
R' L U' D2 F B D2
R' L U' D2 B D F
R' L U' D2 B D' F
R' L U' D2 B D2 F
R' L U' D2 B F D
R' L U' D2 B F D'
R' L U' D2 B F D2
R' L U' F L B L'
L R U' D F D2 B2
R' L U' F L2 B L2
R' L U' F D B D
R' L U' F D B D'
R' L U' F D B D2
R' L U' F D' B D
R' L U' F D' B D'
R' L U' F D' B D2
R' L U' F D2 B D
R' L U' F D2 B D'
R' L U' F D2 B D2
L R U' D' F D2 B2
R' L U' F B2 D B'
R' L U' F B2 D' B'
R' L U' F B2 D2 B'
L R U' D2 F D2 B2
R L U' R2 F B R2
B2 L R' B2 U' F B'
B2 L R' B2 U' B' F
R L U' R2 B R2 F
R L U' R2 B F R2
L R U' F U2 F2 U2
R' L U' F2 D F' B
R' L U' F2 D B F'
R' L U' F2 D' F' B
R' L U' F2 D' B F'
L R U' F D2 B2 D
L R U' F D2 B2 D'
L R U' F D2 B2 D2
R' L U' F2 D2 F' B
R' L U' F2 D2 B F'
L R U' F B D2 B2
R L U' D F D2 B2
R' L U' F2 B D F'
R' L U' F2 B D' F'
R' L U' F2 B D2 F'
L R U' F B' D2 B2
L R U' F B2 D2 B2
R' L U' B R F R'
R' L U' B R2 F R2
R' L U' B D F D
R' L U' B D F D'
R' L U' B D F D2
R L U' D' F D2 B2
R' L U' B D' F D
R' L U' B D' F D'
R' L U' B D' F D2
D2 L R2 U' D F B'
D2 L R2 U' D B' F
D2 L R2 U' D' F B'
R' L U' B D2 F D
R' L U' B D2 F D'
R' L U' B D2 F D2
D2 L R2 U' D' B' F
D2 L R2 U' D2 F B'
D2 L R2 U' D2 B' F
D2 L R2 U' F D B'
D2 L R2 U' F D' B'
D2 L R2 U' F D2 B'
D2 L R2 U' F B' D
D2 L R2 U' F B' D'
D2 L R2 U' F B' D2
R' L U' B F2 D F'
R' L U' B F2 D' F'
R' L U' B F2 D2 F'
D2 L R2 U' B' D F
D2 L R2 U' B' D' F
D2 L R2 U' B' D2 F
D2 L R2 U' B' F D
D2 L R2 U' B' F D'
D2 L R2 U' B' F D2
R L U' D2 F D2 B2
R L U' F U2 F2 U2
R' L U' B2 D F B'
R' L U' B2 D B' F
R' L U' B2 D' F B'
R L U' F D2 B2 D
R L U' F D2 B2 D'
R L U' F D2 B2 D2
R' L U' B2 D' B' F
R' L U' B2 D2 F B'
R L U' F B D2 B2
R' L U' B2 D2 B' F
R L U' F B' D2 B2
D2 L R2 D U' F B'
R' L U' B2 F D B'
R' L U' B2 F D' B'
D2 L R2 D U' B' F
R' L U' B2 F D2 B'
R L U' F B2 D2 B2
L R U' B F D2 B2
D2 L R2 D' U' F B'
D2 L R2 D' U' B' F
L R U' B' F D2 B2
D2 L R2 D2 U' F B'
D2 L R2 D2 U' B' F
D2 L R2 D2 U' B' F
L R U' B2 F D2 B2
R L U' B F D2 B2
R L U' B' F D2 B2
R L U' B2 F D2 B2
L R U2 R2 U F B
L R U2 R2 U B F
R L U2 R2 U F B
R L U2 R2 U B F
D2 L U F' U2 F2 B'
D2 L U F' U2 B' F2
D2 L U F2 U2 F' B'
D2 L U F2 U2 B' F'
L' R D U F' B' U2
R2 L D R U' F B
R2 L D R U' B F
L' R D U B' F' U2
D2 L U B U2 F B2
D2 L U B U2 B2 F
R' L D U' F D B
R' L D U' F D' B
R' L D U' F D2 B
R' L D U' F B D
R' L D U' F B D'
R' L D U' F B D2
R' L D U' B D F
R' L D U' B D' F
R' L D U' B D2 F
R' L D U' B F D
R' L D U' B F D'
R' L D U' B F D2
L R D R2 U' F B
L R D R2 U' B F
D2 L U B2 U2 F B
D2 L U B2 U2 B F
L R D U F' U2 F2
L R D U' F D2 B2
R L D R2 U' F B
R L D R2 U' B F
R L D U F' U2 F2
D2 L U' R F R' B'
R L D U' F D2 B2
D2 L U' R' B' R F
D2 L U' R2 F R2 B'
D2 L U' R2 F B' R2
D2 L U' R2 B' R2 F
D2 L U' R2 B' F R2
D2 L U' D F D B'
D2 L U' D F D' B'
D2 L U' D F D2 B'
D2 L U' D F B' D
D2 L U' D F B' D'
D2 L U' D F B' D2
D2 L U' D B' D F
D2 L U' D B' D' F
D2 L U' D B' D2 F
D2 L U' D B' F D
D2 L U' D B' F D'
D2 L U' D B' F D2
D2 L U' D' F D B'
D2 L U' D' F D' B'
D2 L U' D' F D2 B'
D2 L U' D' F B' D
D2 L U' D' F B' D'
D2 L U' D' F B' D2
D2 L U' D' B' D F
D2 L U' D' B' D' F
D2 L U' D' B' D2 F
D2 L U' D' B' F D
D2 L U' D' B' F D'
D2 L U' D' B' F D2
D2 L U' D2 F D B'
D2 L U' D2 F D' B'
D2 L U' D2 F D2 B'
D2 L U' D2 F B' D
D2 L U' D2 F B' D'
D2 L U' D2 F B' D2
D2 L U' D2 B' D F
D2 L U' D2 B' D' F
D2 L U' D2 B' D2 F
D2 L U' D2 B' F D
D2 L U' D2 B' F D'
D2 L U' D2 B' F D2
D2 L U' F R' B' R
D2 L U' F R2 B' R2
D' L U' F U' L' U
D2 L U' F D B' D
D2 L U' F D B' D'
D2 L U' F D B' D2
D2 L U' F D' B' D
D2 L U' F D' B' D'
D2 L U' F D' B' D2
D2 L U' F D2 B' D
D2 L U' F D2 B' D'
D2 L U' F D2 B' D2
D2 L U' F B2 D B
D2 L U' F B2 D' B
D2 L U' F B2 D2 B
D2 L U' F2 D F' B'
D2 L U' F2 D B' F'
D2 L U' F2 D' F' B'
D2 L U' F2 D' B' F'
D2 L U' F2 D2 F' B'
D2 L U' F2 D2 B' F'
L' R D' U F' B' U2
D2 L U' F2 B' D F'
D2 L U' F2 B' D' F'
D2 L U' F2 B' D2 F'
R2 L D' R U' F B
R2 L D' R U' B F
L' R D' U B' F' U2
D2 L U' B' R F R'
D2 L U' B' R2 F R2
D2 L U' B' D F D
D2 L U' B' D F D'
D2 L U' B' D F D2
D2 L U' B' D' F D
D2 L U' B' D' F D'
D2 L U' B' D' F D2
D2 L U' B' D2 F D
D2 L U' B' D2 F D'
D2 L U' B' D2 F D2
R' L D' U' F D B
R' L D' U' F D' B
R' L D' U' F D2 B
R' L D' U' F B D
R' L D' U' F B D'
R' L D' U' F B D2
D2 L U' B' F2 D F'
D2 L U' B' F2 D' F'
D2 L U' B' F2 D2 F'
R' L D' U' B D F
R' L D' U' B D' F
R' L D' U' B D2 F
R' L D' U' B F D
R' L D' U' B F D'
R' L D' U' B F D2
L R D' R2 U' F B
L R D' R2 U' B F
D2 L U' B2 D F B
D2 L U' B2 D B F
D2 L U' B2 D' F B
D2 L U' B2 D' B F
D2 L U' B2 D2 F B
D2 L U' B2 D2 B F
D2 L U' B2 F D B
D2 L U' B2 F D' B
D2 L U' B2 F D2 B
L R D' U F' U2 F2
L R D' U' F D2 B2
R L D' R2 U' F B
R L D' R2 U' B F
R L D' U F' U2 F2
D2 L U2 R U F B'
D2 L U2 R U B' F
R L D' U' F D2 B2
D2 L U2 R' U F B'
D2 L U2 R' U B' F
D2 L U2 R2 U F B'
D2 L U2 R2 U B' F
R2 L D2 R U' F B
R2 L D2 R U' B F
L' R D2 U F' B' U2
L' R D2 U B' F' U2
R' L D2 U' F D B
R' L D2 U' F D' B
R' L D2 U' F D2 B
R' L D2 U' F B D
R' L D2 U' F B D'
R' L D2 U' F B D2
R' L D2 U' B D F
R' L D2 U' B D' F
R' L D2 U' B D2 F
R' L D2 U' B F D
R' L D2 U' B F D'
R' L D2 U' B F D2
L R D2 R2 U' F B
L R D2 R2 U' B F
L R D2 U F' U2 F2
L R D2 U' F D2 B2
R L D2 R2 U' F B
R L D2 R2 U' B F
R L D2 U F' U2 F2
D2 L D R U' F B'
D2 L D R U' B' F
R L D2 U' F D2 B2
D2 L D R' U' F B'
D2 L D R' U' B' F
D' L D R' U' F B
D' L D R' U' B F
D2 L D R2 U' F B'
D2 L D R2 U' B' F
D2 L D U' F D B'
D2 L D U' F D' B'
D2 L D U' F D2 B'
D2 L D U' F B' D
D2 L D U' F B' D'
D2 L D U' F B' D2
D2 L D U' B' D F
D2 L D U' B' D' F
D2 L D U' B' D2 F
D2 L D U' B' F D
D2 L D U' B' F D'
D2 L D U' B' F D2
B' L D B R' U' F
D2 L D' R U' F B'
D2 L D' R U' B' F
D2 L D' R' U' F B'
D2 L D' R' U' B' F
D2 L D' R2 U' F B'
D2 L D' R2 U' B' F
D L D' R' U' F B
D L D' R' U' B F
D2 L D' U' F D B'
D2 L D' U' F D' B'
D2 L D' U' F D2 B'
D2 L D' U' F B' D
D2 L D' U' F B' D'
D2 L D' U' F B' D2
D2 L D' U' B' D F
D2 L D' U' B' D' F
D2 L D' U' B' D2 F
D2 L D' U' B' F D
D2 L D' U' B' F D'
D2 L D' U' B' F D2
F L D' F' R U' F2
D2 L D2 R U' F B'
D2 L D2 R U' B' F
D2 L D2 R' U' F B'
D2 L D2 R' U' B' F
D2 L D2 R2 U' F B'
D2 L D2 R2 U' B' F
D2 L D2 U' F D B'
D2 L D2 U' F D' B'
D2 L D2 U' F D2 B'
D2 L D2 U' F B' D
D2 L D2 U' F B' D'
D2 L D2 U' F B' D2
D2 L D2 U' B' D F
D2 L D2 U' B' D' F
D2 L D2 U' B' D2 F
D2 L D2 U' B' F D
D2 L D2 U' B' F D'
D2 L D2 U' B' F D2
D' L F' R F U' F
F L F' R' U' F2 B
F L F' R' U' B F2
B' L B R' U' F B
B' L B R' U' B F
D L B R' B' U' F
L' R' U D B' U2 B2
R' L' U D B' U2 B2
L' R' U D' B' U2 B2
R' L' U D' B' U2 B2
L' R' U D2 B' U2 B2
R' L' U D2 B' U2 B2
L' R' U F B' U2 B2
R' L' U F B' U2 B2
L' R' U F' B' U2 B2
R' L' U F' B' U2 B2
R L' U D F' B' U2
R L' U D B' F' U2
L' R' U F2 B' U2 B2
R' L' U F2 B' U2 B2
R L' U D' F' B' U2
R L' U D' B' F' U2
R L' U D2 F' B' U2
R L' U D2 B' F' U2
L' R' U B' U2 B2 D
L' R' U B' U2 B2 D'
L' R' U B' U2 B2 D2
R' L' U B' U2 B2 D
R' L' U B' U2 B2 D'
R' L' U B' U2 B2 D2
L R' U F' U2 F2 B
L R' U F' U2 B F2
L' R' U B' D2 F2 U2
R' L' U B' D2 F2 U2
L' R' U B' F U2 B2
L' R' U B' F' U2 B2
R' L' U B' F U2 B2
R' L' U B' F' U2 B2
L' R' U B' F2 U2 B2
R' L' U B' F2 U2 B2
L R' U F2 U2 F' B
L R' U F2 U2 B F'
R L' U F' D B' U2
R L' U F' D' B' U2
R L' U F' D2 B' U2
R L' U F' B' U2 D
R L' U F' B' U2 D'
R L' U F' B' U2 D2
R L' U F' B' D U2
R L' U F' B' D' U2
R L' U F' B' D2 U2
L R' U B' U2 F B2
L R' U B' U2 B2 F
R' L' U' L2 F L2 B
L' R' U' L2 F L2 B
L' R' U' L2 F B L2
R' L' U' L2 F B L2
L R' U B2 U2 F B'
L R' U B2 U2 B' F
R' L' U' L2 B F L2
L' R' U' L2 B F L2
R L' U B' D F' U2
R L' U B' D' F' U2
R L' U B' D2 F' U2
R L' U B' F' U2 D
R L' U B' F' U2 D'
R L' U B' F' U2 D2
R L' U B' F' D U2
R L' U B' F' D' U2
R L' U B' F' D2 U2
L R' U' L B L' F
L2 R' U' L' F L B
R' L' U' D B D2 F2
L R' U' R F R' B
L' R' U' D B D2 F2
R' L' U' D' B D2 F2
L' R' U' D' B D2 F2
R' L' U' D2 B D2 F2
L' R' U' D2 B D2 F2
R' L' U' F B D2 F2
L' R' U' F B D2 F2
L R' U' D F D B
L R' U' D F D' B
L R' U' D F D2 B
L R' U' D F B D
L R' U' D F B D'
L R' U' D F B D2
L R' U' D B D F
L R' U' D B D' F
L R' U' D B D2 F
L R' U' D B F D
L R' U' D B F D'
L R' U' D B F D2
R' L' U' F' B D2 F2
L R' U' D' F D B
L R' U' D' F D' B
L R' U' D' F D2 B
L R' U' D' F B D
L R' U' D' F B D'
L R' U' D' F B D2
L' R' U' F' B D2 F2
L R' U' D' B D F
L R' U' D' B D' F
L R' U' D' B D2 F
L R' U' D' B F D
L R' U' D' B F D'
L R' U' D' B F D2
L R' U' D2 F D B
L R' U' D2 F D' B
L R' U' D2 F D2 B
L R' U' D2 F B D
L R' U' D2 F B D'
L R' U' D2 F B D2
R' L' U' F2 B D2 F2
L' R' U' F2 B D2 F2
L R' U' D2 B D F
L R' U' D2 B D' F
L R' U' D2 B D2 F
L R' U' D2 B F D
L R' U' D2 B F D'
L R' U' D2 B F D2
L R' U' F L B L'
L R' U' F L2 B L2
R' L' U' B U2 B2 U2
L' R' U' B U2 B2 U2
R' L' U' B D2 F2 D
R' L' U' B D2 F2 D'
R' L' U' B D2 F2 D2
L' R' U' B D2 F2 D
L' R' U' B D2 F2 D'
R' L' U' B F D2 F2
L' R' U' B D2 F2 D2
L R' U' F D B D
L R' U' F D B D'
L R' U' F D B D2
R' L' U' B F' D2 F2
L' R' U' B F D2 F2
L R' U' F D' B D
L R' U' F D' B D'
L R' U' F D' B D2
R' L' U' B F2 D2 F2
L' R' U' B F' D2 F2
L R' U' F D2 B D
L R' U' F D2 B D'
L R' U' F D2 B D2
L' R' U' B F2 D2 F2
L R' U' F B2 D B'
L R' U' F B2 D' B'
L R' U' F B2 D2 B'
L R' U' F2 D F' B
L R' U' F2 D B F'
L R' U' F2 D' F' B
L R' U' F2 D' B F'
L R' U' F2 D2 F' B
L R' U' F2 D2 B F'
L R' U' F2 B D F'
L R' U' F2 B D' F'
L R' U' F2 B D2 F'
L R' U' B R F R'
L2 R' U' B L' F L
L R' U' B R2 F R2
L R' U' B D F D
L R' U' B D F D'
L R' U' B D F D2
L R' U' B D' F D
L R' U' B D' F D'
L R' U' B D' F D2
L R' U' B D2 F D
L R' U' B D2 F D'
L R' U' B D2 F D2
L R' U' B F2 D F'
L R' U' B F2 D' F'
L R' U' B F2 D2 F'
B2 L B2 R' U' F B
B2 L B2 R' U' B F
R' L' U2 L2 U F B
R' L' U2 L2 U B F
L' R' U2 L2 U F B
L' R' U2 L2 U B F
L R' U' B2 D F B'
L R' U' B2 D B' F
L R' U' B2 D' F B'
L R' U' B2 D' B' F
L R' U' B2 D2 F B'
L R' U' B2 D2 B' F
L R' U' B2 F D B'
L R' U' B2 F D' B'
L R' U' B2 F D2 B'
L2 R' U2 L' U F B
L2 R' U2 L' U B F
D2 L' R U F B' U2
D2 L' R U B' F U2
U2 L' R U' F' B U2
U2 L' R U' B F' U2
R' L' D L2 U' F B
R' L' D L2 U' B F
L' R' D L2 U' F B
L' R' D L2 U' B F
R' L' D U B' U2 B2
D2 L' R' U F B' U2
L' R' D U B' U2 B2
D2 L' R' U B' F U2
R' L' D U' B D2 F2
L' R' D U' B D2 F2
U2 L' R' U D F' B
U2 L' R' U D B F'
U2 L' R' U D' F' B
U2 L' R' U D' B F'
U2 L' R' U D2 F' B
U2 L' R' U D2 B F'
U2 L' R' U F' D B
U2 L' R' U F' D' B
U2 L' R' U F' D2 B
U2 L' R' U F' B D
U2 L' R' U F' B D'
U2 L' R' U F' B D2
U2 L' R' U B D F'
U2 L' R' U B D' F'
U2 L' R' U B D2 F'
U2 L' R' U B F' D
U2 L' R' U B F' D'
U2 L' R' U B F' D2
L R' D U' F D B
L R' D U' F D' B
L R' D U' F D2 B
L R' D U' F B D
L R' D U' F B D'
L R' D U' F B D2
L R' D U' B D F
L R' D U' B D' F
L R' D U' B D2 F
L R' D U' B F D
L R' D U' B F D'
L R' D U' B F D2
R L' D U F' B' U2
R L' D U B' F' U2
U2 L' R' D U F' B
U2 L' R' D U B F'
U2 L' R' D' U F' B
U2 L' R' D' U B F'
U2 L' R' D2 U F' B
U2 L' R' D2 U B F'
R' L' D' L2 U' F B
R' L' D' L2 U' B F
L' R' D' L2 U' F B
L' R' D' L2 U' B F
D2 L' R2 U F B' U2
D2 L' R2 U B' F U2
R' L' D' U B' U2 B2
L' R' D' U B' U2 B2
R' L' D' U' B D2 F2
L' R' D' U' B D2 F2
L R' D' U' F D B
L R' D' U' F D' B
L R' D' U' F D2 B
L R' D' U' F B D
L R' D' U' F B D'
L R' D' U' F B D2
L R' D' U' B D F
L R' D' U' B D' F
L R' D' U' B D2 F
L R' D' U' B F D
L R' D' U' B F D'
L R' D' U' B F D2
R L' D' U F' B' U2
R L' D' U B' F' U2
R' L' D2 L2 U' F B
R' L' D2 L2 U' B F
L' R' D2 L2 U' F B
L' R' D2 L2 U' B F
R' L' D2 U B' U2 B2
L' R' D2 U B' U2 B2
R' L' D2 U' B D2 F2
D2 L' U D F B' U2
L' R' D2 U' B D2 F2
D2 L' U D B' F U2
D2 L' U D' F B' U2
D2 L' U D' B' F U2
D2 L' U D2 F B' U2
D2 L' U D2 B' F U2
D2 L' U F D B' U2
D2 L' U F D' B' U2
D2 L' U F D2 B' U2
D2 L' U F B' U2 D
D2 L' U F B' U2 D'
D2 L' U F B' U2 D2
D2 L' U F B' D U2
D2 L' U F B' D' U2
D2 L' U F B' D2 U2
L R' D2 U' F D B
L R' D2 U' F D' B
L R' D2 U' F D2 B
L R' D2 U' F B D
L R' D2 U' F B D'
L R' D2 U' F B D2
L R' D2 U' B D F
L R' D2 U' B D' F
L R' D2 U' B D2 F
L R' D2 U' B F D
L R' D2 U' B F D'
L R' D2 U' B F D2
R L' D2 U F' B' U2
R L' D2 U B' F' U2
D2 L' U B' D F U2
D2 L' U B' D' F U2
D2 L' U B' D2 F U2
D2 L' U B' F U2 D
D2 L' U B' F U2 D'
D2 L' U B' F U2 D2
D2 L' U B' F D U2
D2 L' U B' F D' U2
D2 L' U B' F D2 U2
F' L' U B' U2 R' B
D L' U B' U L U
D2 L' U' L2 F B' L2
D2 L' U' L2 B' F L2
D2 L' U2 L2 U F B'
D2 L' U2 L2 U B' F
D2 L' D L2 U' F B'
D2 L' D L2 U' B' F
D2 L' D U F B' U2
D2 L' D U B' F U2
D2 L' D' L2 U' F B'
D2 L' D' L2 U' B' F
D2 L' D' U F B' U2
D2 L' D' U B' F U2
D2 L' D2 L2 U' F B'
D2 L' D2 L2 U' B' F
D2 L' D2 U F B' U2
D2 L' D2 U B' F U2
R' L2 U' L' F L B
R' L2 U' B L' F L
R' L2 U2 L' U F B
R' L2 U2 L' U B F
L2 R2 U2 L' U F B'
L2 R2 U2 L' U B' F
R2 L2 U2 L' U F B'
R2 L2 U2 L' U B' F
L R2 D R U' F B
L R2 D R U' B F
L R2 D' R U' F B
L R2 D' R U' B F
U2 L2 R U' F' B U2
U2 L2 R U' B F' U2
L2 R2 D2 R U' F' B
L2 R2 D2 R U' B F'
R2 L2 D2 R U' F' B
R2 L2 D2 R U' B F'
L R2 D2 R U' F B
L R2 D2 R U' B F
U2 L2 R' U D F' B
U2 L2 R' U D B F'
U2 L2 R' U D' F' B
U2 L2 R' U D' B F'
U2 L2 R' U D2 F' B
U2 L2 R' U D2 B F'
U2 L2 R' U F' D B
U2 L2 R' U F' D' B
U2 L2 R' U F' D2 B
U2 L2 R' U F' B D
U2 L2 R' U F' B D'
U2 L2 R' U F' B D2
U2 L2 R' U B D F'
U2 L2 R' U B D' F'
U2 L2 R' U B D2 F'
U2 L2 R' U B F' D
U2 L2 R' U B F' D'
U2 L2 R' U B F' D2
U2 L2 R' D U F' B
U2 L2 R' D U B F'
U2 L2 R' D' U F' B
U2 L2 R' D' U B F'
U2 L2 R' D2 U F' B
U2 L2 R' D2 U B F'
L' U R F' R' B' U2
L U R F' R' U2 F2
L' U R' B' R U2 B2
L' U D B' U L U
D2 R L U' D F B'
D2 R L U' D B' F
D2 R L U' D' F B'
D2 R L U' D' B' F
D2 R L U' D2 F B'
D2 R L U' D2 B' F
D2 R L U' F D B'
D2 R L U' F D' B'
D2 R L U' F D2 B'
D2 R L U' F B' D
D2 R L U' F B' D'
D2 R L U' F B' D2
D2 R L U' B' D F
D2 R L U' B' D' F
