F' L2 U R F U2
D2 R2 B U B2 L
F' U' D F2 B' L'
F' U' D B' F2 L'
F' U' B' D F2 L'
F' D U' F2 B' L'
F' D U' B' F2 L'
F D R2 B' L' F2
L2 F' U R F2 U2
L2 F' U F2 U2 L'
F D B' L' R2 F2
F D B' L' F2 R2
F D B' R2 L' F2
B' F D L' R2 F2
B' F D L' F2 R2
B' F D R2 L' F2
F B' D L' R2 F2
F B' D L' F2 R2
F B' D R2 L' F2
F R B' D R2 L' F2
F' R' L2 U R2 F U2
F' R' L2 U F R2 U2
F' R' L2 U' D2 L2 B'
F' R' L2 D2 U' L2 B'
F' R' D B2 U' F2 B
F' R' D B2 U' B F2
F R' D R2 B' L' F2
F R' D B' L' R2 F2
F R' D B' L' F2 R2
F R' D B' R2 L' F2
F R' B' D L' R2 F2
F R' B' D L' F2 R2
F R' B' D R2 L' F2
F' R2 L2 U R' F U2
F' R2 L2 U F R' U2
D2 R2 U B' L D' R2
D2 R2 U B' D' L R2
D2 R2 U B' D' R2 L
F R2 D R2 B' L' F2
F R2 D B' L' R2 F2
F R2 D B' L' F2 R2
F R2 D B' R2 L' F2
D2 R2 F B U B2 L
D2 R2 F' B U B2 L
D2 R2 F2 B U B2 L
D2 R2 B L U B2 L
D2 R2 B L' U B2 L
D2 R2 B L2 U B2 L
D2 R2 B U L B2 L
D2 R2 B U L' B2 L
D2 R2 B U L2 B2 L
D2 R2 B U B2 L D
D2 R2 B U B2 L D'
D2 R2 B U B2 L D2
D2 R2 B U B2 D L
D2 R2 B U B2 D' L
D2 R2 B U B2 D2 L
D2 R2 B U' R' U2 B2
D2 R2 B F U B2 L
D2 R2 B F' U B2 L
D2 R2 B F2 U B2 L
F' R2 B2 L2 U' L' B
F' R2 B2 L2 U' B L'
F R2 B' D L' R2 F2
F R2 B' D L' F2 R2
F R2 B' D R2 L' F2
B' U L2 F' U R U2
F' U R U2 D F2 B'
F' U R U2 D B' F2
F' U R U2 B' D F2
F' U R D U2 F2 B'
F' U R D U2 B' F2
F' U R D' B2 U2 B
D2 U R2 B U B2 L
F' U D R U2 F2 B'
F' U D R U2 B' F2
F' U D' R B2 U2 B
F U D R2 B' L' F2
F U D B' L' R2 F2
F U D B' L' F2 R2
F U D B' R2 L' F2
B' U F L2 F2 U' L
B' U F' L2 U R U2
B' U F' U' D F2 L'
B' U F' D U' F2 L'
F U B' D L' R2 F2
F U B' D L' F2 R2
F U B' D R2 L' F2
D2 U' R2 B U B2 L
F' U' D L F2 L' B'
F' U' D F2 D B' L'
F' U' D F2 D' B' L'
F' U' D F2 D2 B' L'
F' U' D F2 B L' B2
F' U' D F2 B' L' D
F' U' D F2 B' L' D'
F' U' D F2 B' L' D2
F' U' D F2 B' D L'
F' U' D F2 B' D' L'
F' U' D F2 B' D2 L'
F' U' D F2 B2 L' B
F' U' D B F2 L' B2
F' U' D B' L F2 L'
F' U' D B' L' F2 L'
F' U' D B' L2 F2 L'
F' U' D B' F2 L' D
F' U' D B' F2 L' D'
F' U' D B' F2 L' D2
F' U' D B' F2 D L'
F' U' D B' F2 D' L'
F' U' D B' F2 D2 L'
F' U' D B2 F2 L' B
F U' D R2 B' L' F2
F U' D B' L' R2 F2
F U' D B' L' F2 R2
F U' D B' R2 L' F2
F' U' D2 B' D' F2 L'
F' U' F2 D B' L' F2
F' U' F2 B' D L' F2
F' U' B' D L F2 L'
F' U' B' D L' F2 L'
F' U' B' D L2 F2 L'
F' U' B' D F2 L' D
F' U' B' D F2 L' D'
F' U' B' D F2 L' D2
F' U' B' D F2 D L'
F' U' B' D F2 D' L'
F' U' B' D F2 D2 L'
F' U' B' F2 D L' F2
F' U' B2 D F2 L' B
F' U' B2 D F2 B L'
F' U' B2 D B F2 L'
F U' B' D L' R2 F2
F U' B' D L' F2 R2
F U' B' D R2 L' F2
U' D2 R2 B U B2 L
D2 U2 R2 B U B2 L
U2 D2 R2 B U B2 L
U D2 R2 B U B2 L
R2 D2 B' L D' R2 F2
R2 D2 B' L D' F2 R2
R2 D2 B' D' L R2 F2
R2 D2 B' D' L F2 R2
R2 D2 B' D' R2 L F2
R2 D2 B' D' R2 F2 L
R2 D2 B' D' F2 L R2
R2 D2 B' D' F2 R2 L
F U2 D R2 B' L' F2
F U2 D B' L' R2 F2
F U2 D B' L' F2 R2
F U2 D B' R2 L' F2
L F L' D R2 F2 B'
L F L' D R2 B' F2
L F L' D F2 R2 B'
L F L' D F2 B' R2
L F L' D B' R2 F2
L F L' D B' F2 R2
L F L' B' D R2 F2
L F L' B' D F2 R2
F U2 B' D L' R2 F2
F U2 B' D L' F2 R2
F U2 B' D R2 L' F2
L2 F U' F2 U' F2 L'
U' F D R2 B' L' F2
U' F D B' L' R2 F2
U' F D B' L' F2 R2
U' F D B' R2 L' F2
U2 F D R2 B' L' F2
U2 F D B' L' R2 F2
U2 F D B' L' F2 R2
U2 F D B' R2 L' F2
D F D R2 F B' L
D F D R2 B' F L
D F D F R2 B' L
D F D F B' L R2
D F D F B' R2 L
U F D R2 B' L' F2
D F D B' R2 F L
D F D B' F L R2
D F D B' F R2 L
U F D B' L' R2 F2
U F D B' L' F2 R2
U F D B' R2 L' F2
F D L2 F2 L R2 B
F D L2 F2 R2 L B
F D R B' L' R F2
F D R B' R L' F2
U' F B' D L' R2 F2
U' F B' D L' F2 R2
U' F B' D R2 L' F2
F' D U R U2 F2 B'
F' D U R U2 B' F2
U2 F B' D L' R2 F2
U2 F B' D L' F2 R2
U2 F B' D R2 L' F2
R2 F B' D L' F2 R
F' D U' L F2 L' B'
F D R2 B L' F2 B2
F D R2 B L' B2 F2
F D R2 B' L F2 L2
F D R2 B' L' F2 D
F D R2 B' L' F2 D'
F D R2 B' L' F2 D2
F D R2 B' L2 F2 L
F' D U' F2 D B' L'
F' D U' F2 D' B' L'
F' D U' F2 D2 B' L'
F' D U' F2 B L' B2
F' D U' F2 B' L' D
F' D U' F2 B' L' D'
F' D U' F2 B' L' D2
F D R2 B2 L' F2 B
F D R2 B2 L' B F2
F' D U' F2 B' D L'
F' D U' F2 B' D' L'
F' D U' F2 B' D2 L'
F' D U' F2 B2 L' B
F' D U' B F2 L' B2
F' D U' B' L F2 L'
F' D U' B' L' F2 L'
F' D U' B' L2 F2 L'
U F B' D L' R2 F2
U F B' D L' F2 R2
F' D U' B' F2 L' D
F' D U' B' F2 L' D'
F' D U' B' F2 L' D2
F' D U' B' F2 D L'
F' D U' B' F2 D' L'
F' D U' B' F2 D2 L'
U F B' D R2 L' F2
F' D U' B2 F2 L' B
F D U R2 B' L' F2
F D U B' L' R2 F2
F D U B' L' F2 R2
F D U B' R2 L' F2
U' F' L2 U R F U2
F D U' R2 B' L' F2
L F' L U R F U2
F D U' B' L' R2 F2
F D U' B' L' F2 R2
F D U' B' R2 L' F2
F D U2 R2 B' L' F2
U2 F' L2 U R F U2
F D U2 B' L' R2 F2
F D U2 B' L' F2 R2
F D U2 B' R2 L' F2
U F' L2 U R F U2
F' D F2 D R2 B' L'
F' D F2 D B' L' R2
F' D F2 D B' R2 L'
F' D F2 B' L' D R2
F' D F2 B' D L' R2
F' D F2 B' D R2 L'
L2 F' R' U R2 F2 U2
L2 F' R' U F2 R2 U2
L2 F' R' U' D2 L2 B2
L2 F' R' U' D2 B2 L2
L2 F' R' D R2 B2 U'
L2 F' R' D B2 R2 U'
F' D B U' F2 L' B2
F' D B U' F2 B2 L'
F' D B U' B2 F2 L'
L2 F' R' D2 U' L2 B2
L2 F' R' D2 U' B2 L2
F D F2 R2 B2 L B
L2 F' R2 U R' F2 U2
L2 F' R2 U F2 R' U2
L2 F' R2 U' D2 B2 L
F D F2 B R2 B2 L
L2 F' R2 D2 U' B2 L
F D B L' R2 F2 B2
F D B L' R2 B2 F2
F D B L' F2 R2 B2
F D B L' F2 B2 R2
F D B L' B2 R2 F2
F D B L' B2 F2 R2
F D B R2 L' F2 B2
F D B R2 L' B2 F2
F D B R2 B2 L' F2
F' D B' F2 L' D R2
F' D B' F2 D L' R2
F' D B' F2 D R2 L'
L2 F' U R U2 D2 B2
L2 F' U R D2 U2 B2
L2 F' U R F2 U2 D
L2 F' U R F2 U2 D'
L2 F' U R F2 U2 D2
L2 F' U R F2 D U2
L2 F' U R F2 D' U2
L2 F' U R F2 D2 U2
L2 F' U R' F2 R2 U2
L2 F' U R2 F2 R' U2
U' F' U' D F2 B' L'
U' F' U' D B' F2 L'
F D B F2 R2 B2 L
F' D B2 U' F2 L' B
F' D B2 U' F2 B L'
F' D B2 U' B F2 L'
F D B' L R2 F2 L2
L2 F' U D2 R U2 B2
F D B' L F2 L2 R2
F D B' L F2 R2 L2
F D B' L' R' F2 R'
F D B' L' R2 F2 D
F D B' L' R2 F2 D'
F D B' L' R2 F2 D2
F D B' L' F R2 F
F D B' L' F2 R2 D
F D B' L' F2 R2 D'
F D B' L' F2 R2 D2
F D B' L2 R2 F2 L
F D B' L2 F2 L R2
F D B' L2 F2 R2 L
L2 F' U F2 R U2 L'
L2 F' U F2 R' U2 L'
L2 F' U F2 R2 U2 L'
L2 F' U F2 U2 L' D
L2 F' U F2 U2 L' D'
L2 F' U F2 U2 L' D2
L2 F' U F2 U2 D L'
L2 F' U F2 U2 D' L'
L2 F' U F2 U2 D2 L'
L2 F' U F2 D U2 L'
L2 F' U F2 D' U2 L'
L2 F' U F2 D2 U2 L'
F D B' R' L' F2 R'
F D B' R2 L F2 L2
F D B' R2 L' F2 D
F D B' R2 L' F2 D'
F D B' R2 L' F2 D2
F D B' R2 L2 F2 L
U' F' U' B' D F2 L'
D2 F' U' B' L D' F2
D2 F' U' B' D' L F2
D2 F' U' B' D' F2 L
U2 F' U' D F2 B' L'
U2 F' U' D B' F2 L'
D2 F' U2 R2 U B' L
F D B2 L' F2 B R2
F D B2 L' B R2 F2
F D B2 L' B F2 R2
U2 F' U' B' D F2 L'
D F' U' D F' B' L
D F' U' D B' L F'
D F' U' D B' F' L
D F' U' F' D B' L
U' F' D U' F2 B' L'
U' F' D U' B' F2 L'
U F' U' D F2 B' L'
U F' U' D B' F2 L'
U F' U' B' D F2 L'
L2 F' D R2 U R' U2
L2 F' D R2 B2 U' L
U2 F' D U' F2 B' L'
U2 F' D U' B' F2 L'
D F' D U' F' B' L
D F' D U' B' L F'
D F' D U' B' F' L
U F' D U' F2 B' L'
U F' D U' B' F2 L'
F D' L2 F B2 R' U2
L2 F' D2 R2 U' B2 L
L2 F' D2 U R U2 B2
F D' L2 B2 R' F U2
F D' L2 B2 F R' U2
L2 F' B U R F2 U2
L2 F' B U F2 U2 L'
F' D' U R B2 U2 B
L2 F' B' U R F2 U2
L2 F' B' U F2 U2 L'
L2 F' B2 U R F2 U2
L2 F' B2 U F2 U2 L'
F D' B2 L2 U2 L B
F' D2 U' B' D' F2 L'
F D2 R2 B2 U L' B
F D2 R2 B2 U B L'
B' F L' U L' F2 U'
F' B L2 R2 U' B2 L
F' B L2 U R U2 B2
B2 F L2 F2 U' L B
B' F R D L' R2 F2
B' F R D L' F2 R2
B' F R D R2 L' F2
B F L2 F2 U' L B2
B' F R' D L' R2 F2
B' F R' D L' F2 R2
B' F R' D R2 L' F2
F B L2 F2 U' L B2
B' F R2 D L' R2 F2
B' F R2 D L' F2 R2
B' F R2 D R2 L' F2
F' B R2 L2 U' B2 L
B' F U L2 F2 U' L
L2 B F' U R F2 U2
L2 B F' U F2 U2 L'
D2 B' L U' R2 B U
F' B U' B2 D F2 L'
B' F D L R2 F2 L2
B' F D L F2 L2 R2
B' F D L F2 R2 L2
B' F D L' R' F2 R'
B' F D L' R2 F2 D
B' F D L' R2 F2 D'
B' F D L' R2 F2 D2
B' F D L' F R2 F
B' F D L' F2 R2 D
B' F D L' F2 R2 D'
B' F D L' F2 R2 D2
B' F D L2 R2 F2 L
B' F D L2 F2 L R2
B' F D L2 F2 R2 L
B' F D R' L' F2 R'
B' F D R2 L F2 L2
B' F D R2 L' F2 D
B' F D R2 L' F2 D'
B' F D R2 L' F2 D2
B' F D R2 L2 F2 L
B2 F D L' F2 B R2
B2 F D L' B R2 F2
B2 F D L' B F2 R2
B' F D' L' D2 F2 R
B2 F D B L' R2 F2
B2 F D B L' F2 R2
B2 F D B R2 L' F2
B' F D2 L' D' R2 F2
B' F D2 L' D' F2 R2
D2 B' R2 B U B' L
F B' L' U L' F2 U'
B F' L2 R2 U' B2 L
B F' L2 U R U2 B2
F B' R D L' R2 F2
F B' R D L' F2 R2
F B' R D R2 L' F2
F B' R' D L' R2 F2
F B' R' D L' F2 R2
F B' R' D R2 L' F2
B F' R2 L2 U' B2 L
U' B' F D L' R2 F2
U' B' F D L' F2 R2
U' B' F D R2 L' F2
F B' R2 D L' R2 F2
F B' R2 D L' F2 R2
F B' R2 D R2 L' F2
B2 F' U' D F2 L' B
B2 F' U' D F2 B L'
B2 F' U' D B F2 L'
F B' U L2 F2 U' L
B2 F' U' B D F2 L'
U2 B' F D L' R2 F2
U2 B' F D L' F2 R2
U2 B' F D R2 L' F2
R2 B' F D L' F2 R
L2 B' F' U R F2 U2
L2 B' F' U F2 U2 L'
B F' U' B2 D F2 L'
B' F' D F2 L' D R2
B' F' D F2 D L' R2
B' F' D F2 D R2 L'
U B' F D L' R2 F2
U B' F D L' F2 R2
U B' F D R2 L' F2
F' B' D F2 L' D R2
B2 F' D U' F2 L' B
B2 F' D U' F2 B L'
B2 F' D U' B F2 L'
F' B' D F2 D L' R2
F' B' D F2 D R2 L'
F B' D L R2 F2 L2
F B' D L F2 L2 R2
F B' D L F2 R2 L2
F B' D L' R' F2 R'
F B' D L' R2 F2 D
F B' D L' R2 F2 D'
F B' D L' R2 F2 D2
F B' D L' F R2 F
F B' D L' F2 R2 D
F B' D L' F2 R2 D'
F B' D L' F2 R2 D2
F B' D L2 R2 F2 L
F B' D L2 F2 L R2
F B' D L2 F2 R2 L
F B' D R' L' F2 R'
F B' D R2 L F2 L2
F B' D R2 L' F2 D
F B' D R2 L' F2 D'
F B' D R2 L' F2 D2
F B' D R2 L2 F2 L
F B' D' L' D2 F2 R
F B' D2 L' D' R2 F2
F B' D2 L' D' F2 R2
R2 B2 L2 F U' L' B
R2 B2 L2 F U' B L'
F B2 L2 F2 U' L B
F' B2 U' D F2 L' B
F' B2 U' D F2 B L'
F' B2 U' D B F2 L'
F' B2 U' B D F2 L'
F' B2 D U' F2 L' B
F' B2 D U' F2 B L'
F' B2 D U' B F2 L'
F B2 D L' F2 B R2
F B2 D L' B R2 F2
F B2 D L' B F2 R2
L2 B2 F' U R F2 U2
L2 B2 F' U F2 U2 L'
F B2 D B L' R2 F2
F B2 D B L' F2 R2
F B2 D B R2 L' F2
