F L2 R F' B2 U'
F L2 R B2 F' U'
B2 L2 F R F' U'
F L2 B2 R F' U'
F R L2 F' B2 U'
F R L2 B2 F' U'
F R F' L2 B2 U'
F R F' B2 L2 U'
F R B2 L2 F' U'
F R B2 F' L2 U'
L2 F R F' B2 U'
L2 F R B2 F' U'
L2 F B2 R F' U'
R F' L2 B2 R' U'
B2 F L2 R F' U'
B2 F R L2 F' U'
B2 F R F' L2 U'
R' B2 L2 F R U'
F B2 L2 R F' U'
F B2 R L2 F' U'
F B2 R F' L2 U'
L2 B2 F R F' U'
B2 U' D R B R' F2
B2 U' D R B F2 R'
D U' F2 L2 R B R'
D U' F2 R L2 B R'
D U' F2 R B L2 R'
D U' F2 R B R' L2
B2 U' D F2 R B R'
D U' B R' F2 L2 B'
D U' B' L2 F2 R B
F U' B2 L2 R F' U'
F U' B2 R L2 F' U'
F U' B2 R F' L2 U'
F U2 L2 R F' B2 U'
F U2 L2 R B2 F' U'
F U2 L2 B2 R F' U'
F U2 R L2 F' B2 U'
F U2 R L2 B2 F' U'
F U2 R F' L2 B2 U'
F U2 R F' B2 L2 U'
F U2 R B2 L2 F' U'
F U2 R B2 F' L2 U'
L F L R F' B2 U'
L F L R B2 F' U'
L F L B2 R F' U'
L' F R F' L' B2 U'
L' F R F' B2 L' U'
R F L2 R F2 B2 U'
R F L2 R B2 F2 U'
L2 F R D F' U' L2
L' F R B2 F' L' U'
L2 F R F' U' D L2
L2 F R F' D U' L2
L2 F R F' B2 U' D
L2 F R F' B2 U' D'
L2 F R F' B2 U' D2
L2 F R F' B2 D U'
L2 F R F' B2 D' U'
L2 F R F' B2 D2 U'
L2 F R B2 D F' U'
L2 F R B2 D' F' U'
L2 F R B2 D2 F' U'
L2 F R B2 F' U' D
L2 F R B2 F' U' D'
L2 F R B2 F' U' D2
L2 F R B2 F' D U'
L2 F R B2 F' D' U'
L2 F R B2 F' D2 U'
L F R L F' B2 U'
L F R L B2 F' U'
R F L2 B2 R F2 U'
R2 F R B2 L2 F U'
R F R L2 F2 B2 U'
R F R L2 B2 F2 U'
L F R F' L B2 U'
R F R F2 L2 B2 U'
R F R F2 B2 L2 U'
R F R B2 L2 F2 U'
R F R B2 F2 L2 U'
F U2 B2 L2 R F' U'
F U2 B2 R L2 F' U'
F U2 B2 R F' L2 U'
F2 D L2 R' F2 B R'
F2 D L2 R' B R' F2
F2 D L2 R' B F2 R'
F2 D L2 F2 R' B R'
F2 D L2 F2 B R' B
F2 D L2 B R' F2 B
F2 D L2 B R' B F2
F2 D L2 B F2 R' B
F2 D R' L2 F2 B R'
F2 D R' L2 B R' F2
F2 D R' L2 B F2 R'
F2 D R' F2 L2 B R'
F2 D R' F2 B L2 R'
F2 D R' F2 B R' L2
F2 D R' B L2 R' F2
F2 D R' B L2 F2 R'
F2 D R' B R' L2 F2
F2 D R' B R' F2 L2
F2 D R' B F2 L2 R'
F2 D R' B F2 R' L2
R' F B2 L2 R F U'
R' F B2 R L2 F U'
L2 F B' R F' B' U'
L2 F B' R B' F' U'
L' F B2 R F' L' U'
L2 F B2 R D F' U'
L2 F B2 R D' F' U'
L2 F B2 R D2 F' U'
L2 F B2 R F' U' D
L2 F B2 R F' U' D'
L2 F B2 R F' U' D2
L2 F B2 R F' D U'
L2 F B2 R F' D' U'
L2 F B2 R F' D2 U'
B2 D U' R F2 B R'
B2 D U' R B R' F2
B2 D U' R B F2 R'
B2 D U' F2 R B R'
R F B2 L2 R F2 U'
R F B2 R L2 F2 U'
R F B2 R F2 L2 U'
R2 F' L2 B2 R' F' U'
F2 D F2 L2 R' B R'
R F' L2 R B2 R' U'
F2 D F2 L2 B R' B
R F' L2 R' B2 R' U'
F2 D F2 R' L2 B R'
R F' L2 R2 B2 R' U'
F2 D F2 R' B L2 R'
F2 D F2 R' B R' L2
F2 D F2 B L2 R' B
F2 D F2 B R' L2 B
F2 D F2 B R' B L2
R F' L2 B2 R' U' D
R F' L2 B2 R' U' D'
R F' L2 B2 R' U' D2
R F' L2 B2 R' D U'
R F' L2 B2 R' D' U'
R F' L2 B2 R' D2 U'
R F' L2 B2 D R' U'
R F' L2 B2 D' R' U'
R F' L2 B2 D2 R' U'
F2 D B L2 R' F2 B
F2 D B L2 R' B F2
F2 D B L2 F2 R' B
F2 D B R' L2 F2 B
R F' R L2 B2 R' U'
F2 D B R' L2 B F2
F2 D B R' F2 L2 B
F2 D B R' F2 B L2
F2 D B R' B L2 F2
F2 D B R' B F2 L2
F2 D B F2 L2 R' B
F2 D B F2 R' L2 B
F2 D B F2 R' B L2
R F' R' L2 B2 R' U'
R F' R2 L2 B2 R' U'
R F' B2 L2 U2 L U
D F2 L2 B D R' B
L2 F2 R F' R B2 U'
L2 F2 R F' B2 R U'
L2 F2 R B2 F' R U'
F' D2 L' F2 R2 B U
D F2 B L2 D R' B
L2 F2 B2 R F' R U'
D B L2 F2 D R' B
B2 F L R F' L U'
D B U' R' F2 L2 B'
B2 F L2 R D F' U'
B2 F L2 R D' F' U'
B2 F L2 R D2 F' U'
B2 F L2 R F' U' D
B2 F L2 R F' U' D'
B2 F L2 R F' U' D2
B2 F L2 R F' D U'
B2 F L2 R F' D' U'
B2 F L2 R F' D2 U'
B2 F R L F' L U'
B2 F R L2 D F' U'
B2 F R L2 D' F' U'
B2 F R L2 D2 F' U'
B' F R F' B' L2 U'
B2 F R L2 F' U' D
B2 F R L2 F' U' D'
B2 F R L2 F' U' D2
B2 F R L2 F' D U'
B2 F R L2 F' D' U'
B2 F R L2 F' D2 U'
B' F R B' L2 F' U'
B' F R B' F' L2 U'
R' B D2 R2 F' L' U
B2 F R D F' U' F'
B2 F R F L2 F2 U'
B2 F R F' L2 U' D
B2 F R F' L2 U' D'
B2 F R F' L2 U' D2
B2 F R F' L2 D U'
B2 F R F' L2 D' U'
B2 F R F' L2 D2 U'
B2 F R F' U' D F2
B2 F R F' D U' F2
B F L2 B R F' U'
F B L2 B R F' U'
D B F2 L2 D R' B
D B' U' L2 F2 R B
F B' R F' B' L2 U'
F B' R B' L2 F' U'
F B' R B' F' L2 U'
L2 B' F R F' B' U'
L2 B' F R B' F' U'
U' B2 L2 R F' U' B
L' B2 L' F R F' U'
R' B2 L2 R F R U'
R' B2 L2 R' F R U'
R' B2 L2 R2 F R U'
R' B2 L2 D F R U'
R' B2 L2 D' F R U'
R' B2 L2 D2 F R U'
R' B2 L2 F R U' D
R' B2 L2 F R U' D'
R' B2 L2 F R U' D2
R' B2 L2 F R D U'
R' B2 L2 F R D' U'
R' B2 L2 F R D2 U'
R' B2 L2 F D R U'
R' B2 L2 F D' R U'
R' B2 L2 F D2 R U'
U' B2 R L2 F' U' B
R' B2 R L2 F R U'
U' B2 R F' L2 U' B
R' B2 R' L2 F R U'
L2 B2 R F R F2 U'
L2 B2 R F' U2 L' U
F B2 L R F' L U'
B2 F2 L2 R F' R U'
R' B2 R2 L2 F R U'
F2 B2 L2 R F' R U'
L2 B2 R' U2 B L U
R B2 L2 F R F2 U'
R B2 L2 F' U2 L' U
B2 F2 L2 F' R F' U'
F2 B2 L2 F' R F' U'
B2 F2 R L2 F' R U'
F2 B2 R L2 F' R U'
F B2 L2 R D F' U'
F B2 L2 R D' F' U'
F B2 L2 R D2 F' U'
F B2 L2 R F' U' D
F B2 L2 R F' U' D'
F B2 L2 R F' U' D2
F B2 L2 R F' D U'
F B2 L2 R F' D' U'
F B2 L2 R F' D2 U'
B2 F2 R F' L2 R U'
B2 F2 R F' R L2 U'
F2 B2 R F' L2 R U'
F2 B2 R F' R L2 U'
F B2 R L F' L U'
F B2 R L2 D F' U'
F B2 R L2 D' F' U'
F B2 R L2 D2 F' U'
F B2 R L2 F' U' D
F B2 R L2 F' U' D'
F B2 R L2 F' U' D2
F B2 R L2 F' D U'
F B2 R L2 F' D' U'
F B2 R L2 F' D2 U'
F B2 R D F' U' F'
F B2 R F L2 F2 U'
L2 B2 U' D R B R'
F B2 R F' L2 U' D
F B2 R F' L2 U' D'
F B2 R F' L2 U' D2
F B2 R F' L2 D U'
F B2 R F' L2 D' U'
F B2 R F' L2 D2 U'
F B2 R F' U' D F2
F B2 R F' D U' F2
L2 B2 D U' R B R'
L B2 U2 R' B L U
L' B2 D2 L' F R U'
R' B2 F L2 R F U'
R' B2 F R L2 F U'
L' B2 F R F' L' U'
L2 B2 F R D F' U'
L2 B2 F R D' F' U'
L2 B2 F R D2 F' U'
L2 B2 F R F' U' D
L2 B2 F R F' U' D'
L2 B2 F R F' U' D2
L2 B2 F R F' D U'
L2 B2 F R F' D' U'
L2 B2 F R F' D2 U'
L2 B2 F2 R F' R U'
R B2 F L2 R F2 U'
R B2 F R L2 F2 U'
R B2 F R F2 L2 U'
R B2 F' L2 U2 L U
